Category	Subcategory	Subcategory2	Brand	Item	Matching SKU	Photo URL	Photo Notes	Retouch Notes	On-Car Shots	Off-Car Shots	Approx. Photo Install Time (Hours)	Photo Install Notes	Install Video	Stock Footage Shot	Stock Install Footage Shot	Downloaded	template_id
Accessories			American Muscle														2
Accessories	Apparel		American Muscle				ALL APPAREL SHOULD BE SHOT ON-MODEL AND ON WHITE (NO MODEL)										3
Accessories	Apparel		American Muscle	"T-Shirts, Hoodies, Jackets"	T533213	https://www.americanmuscle.com/rtr-blue-funhaver-tshirt-2.html	"If there is a logo on the sleeve, please include 3/4 shot. When shooting multiple t-shirts in a job, please vary the poses slightly"		3		0.75	35-40 minutes to allow steamer to heat up. 5 minutes per shirt to steam		T528155			4
Accessories	Apparel		American Muscle	Hats	383808	http://www.americanmuscle.com/rtr-flexfit-hat-black.html				4	0.75	35-40 minutes to allow steamer to heat up. 2 minutes per hat to steam		383808			5
Accessories	Mustang Racing Gear		American Muscle														6
Accessories	Mustang Racing Gear		American Muscle	Gloves	not found on page	http://www.americanmuscle.com/gforce-g1-gloves-black.html		photoshop out model	0	5						TRUE	7
Accessories	Mustang Racing Gear		American Muscle	Helmets	not found on page	http://www.americanmuscle.com/gforce-proeliminator-helmet-black.html			0	5-8						TRUE	8
Accessories	Back-Up Cameras		American Muscle														9
Accessories	Back-Up Cameras		American Muscle	GPS w/ Back-Up Camera	not found on page	http://www.americanmuscle.com/raxiom-gps-nav-1014.html			7	5	1.00	Dash must be taken apart				TRUE	10
Accessories	Back-Up Cameras		American Muscle	Rear View Mirror w/ Back-Up Camera	384296	http://www.americanmuscle.com/raxiom-rearview-mirror-camera-7914.html			4	4-6	1.00	Dash must be taken apart		384296			11
Accessories	Back-Up Cameras		American Muscle	Fender Covers & Grippers			399349 — P-4023		2	2	0.10			399349			12
Accessories	Back-Up Cameras		American Muscle	Floor Mats - 4pc	392954		https://www.americanmuscle.com/mustang-shelbygt-floor-mats-black-2015.html		2	3-4	0.25	account 10 minutes to be for cleaning the vehicle.		392954			13
Accessories	Back-Up Cameras		American Muscle	Floor Mats - Front	392955		https://www.americanmuscle.com/mustang-floor-mats-shelbygt-black-2015.html							392955			14
Accessories	Back-Up Cameras		American Muscle	Floor Mat - Trunk	386407		https://www.americanmuscle.com/black-gt-trunk-mat-2015.html							386407			15
Accessories	Back-Up Cameras		American Muscle	Keychains	393673		https://www.americanmuscle.com/am-wrench-bottle-opener-keychain.html		0	1-2				393673			16
Accessories	Back-Up Cameras		American Muscle	License Plates			cd 				1.00	Being that we do not have license plate brackets multiple layers of 3m must be used.		389915		TRUE	17
Accessories	Back-Up Cameras		American Muscle	License Plate - Flip Down	64500	https://www.americanmuscle.com/flipdown-licenseplate-motorized.html								64500			18
Accessories	Back-Up Cameras		American Muscle	License Plate Frames	74106	http://www.americanmuscle.com/license-frame-mustanggt.html		icon should be replaced with image 2; 3 is crop of 2	3	3-4	0.17			74106		TRUE	19
Accessories	Back-Up Cameras		American Muscle	Posters	not found on page	http://www.americanmuscle.com/american-muscle-banner.html			0	3				386684			20
Accessories	Restoration Weatherstripping & Molding		American Muscle														21
Accessories	Restoration Weatherstripping & Molding		American Muscle	Weatherstipping	383914	http://www.americanmuscle.com/ford-roofrail-weatherstrip-rh-9404.html		grey out car	2	3	1.00			383914		TRUE	22
Accessories	Restoration Weatherstripping & Molding		American Muscle	Window Molding	94308	http://www.americanmuscle.com/extdoor-windowtrim-8793.html		grey out car	2	4-6	1.00			94308			23
Brakes			American Muscle														24
Brakes			American Muscle	Brake Cable Kit	48307	http://www.americanmuscle.com/willwood-parkingbrake-cable-1112.html			0	2							25
Brakes			American Muscle	Brake Hoses	100940	http://www.americanmuscle.com/brake-hose-front-right-0514.html			0	3-5							26
Brakes			American Muscle	Brake Kits	50518	http://www.americanmuscle.com/frpp-6piston-brake-kit-0514.html			0	10-15							27
Brakes			American Muscle	Brake Line Kits	56555	http://www.americanmuscle.com/russell-brake-kit-0514-abs.html			0	3-5							28
Brakes			American Muscle	Brake Pads	384207	http://www.americanmuscle.com/powerstop-z26-rear-pads-0510.html	Make sure curve of product is at the top		0	4-6							29
Brakes			American Muscle	Brake Rotor & Pad Kits	53455	http://www.americanmuscle.com/powerstop-brake-kit-1114gt.html			0	7-10							30
Brakes			American Muscle	Caliper Covers	81130	http://www.americanmuscle.com/calipercovers-2011-50-red.html		7 and 8 are crop of 6	3	4-6	0.25	Car must be jacked up and the wheel removed to install caliper covers.					31
Brakes			American Muscle	Rotors	46187	http://www.americanmuscle.com/dba-t2-front-rotors-1114gt.html			0	3							32
Drivetrain			American Muscle														33
Drivetrain			American Muscle	Axles	73003	http://www.americanmuscle.com/moser-31spline-88-axle-2005.html	replace image 4 with hardware shot		0	4						TRUE	34
Drivetrain			American Muscle	Clutch	102195	http://www.americanmuscle.com/exedy-mach350-clutch-0510gt-26spline.html			0	3-5							35
Drivetrain	Clutch Accessories		American Muscle														36
Drivetrain	Clutch Accessories		American Muscle	Clutch Alignment Tools	17531	http://www.americanmuscle.com/10-spline-clutch-alignment-tool.html			0	2							37
Drivetrain	Clutch Accessories		American Muscle	Clutch Lines	41195	http://www.americanmuscle.com/sr-hydraulic-clutchline-0514v8.html			0	2							38
Drivetrain	Clutch Accessories		American Muscle	Slave Cylinders	62524	http://www.americanmuscle.com/exedy-tob-slavecylinder-0513.html			0	2							39
Drivetrain			American Muscle	Clutch Kits	62509	http://www.americanmuscle.com/exedy-stage2-clutch-2011gt.html	should include details of clutch accessories		0	4-6						TRUE	40
Drivetrain			American Muscle	Differential Cover	12160	http://www.americanmuscle.com/gms-7905-88-girdle-system.html			0	5						TRUE	41
Drivetrain			American Muscle	Driveshafts	14104	http://www.americanmuscle.com/dss-aluminum-driveshaft-1114gt.html			0	4						TRUE	42
Drivetrain			American Muscle	Flywheels	387457	http://www.americanmuscle.com/exedy-mach600-stage4-grooved-1114gt.html			0	3							43
Drivetrain			American Muscle	Gears	50468G11	http://www.americanmuscle.com/ford-308-1013gt.html			0	4-5						TRUE	44
Drivetrain			American Muscle	Gear Kits	100573	http://www.americanmuscle.com/373-gear-oil-kit-1014.html			0	5-7						TRUE	45
Drivetrain			American Muscle	Limited Slip Differentials	24062	http://www.americanmuscle.com/ford-31spline-88-carbondisc.html			0	3							46
Drivetrain			American Muscle	Shifter Bracket	100550	http://www.americanmuscle.com/sr-shifter-bracket-1114.html		use same before image from this SKU if possible	0	3							47
Drivetrain			American Muscle	Shifter Gaskets	100636	http://www.americanmuscle.com/mt82-shifter-base-gasket.html			1	2						TRUE	48
Drivetrain			American Muscle	Shifters	100549	http://www.americanmuscle.com/sr-short-shifter-1114.html			3	4						TRUE	49
Drivetrain			American Muscle	Transmission Cooler	80226	http://www.americanmuscle.com/mishimoto-trans-cooler.html			0	5-6							50
Drivetrain			American Muscle	Transmission Pan	62726	http://www.americanmuscle.com/pa-c4-transmission-pan.html			0	5-6							51
Engine			American Muscle														52
Engine	"Air, Oil & Fuel Filters"		American Muscle														53
Engine	"Air, Oil & Fuel Filters"		American Muscle	Air Filters	not found on page	http://www.americanmuscle.com/airaid-track-filter-0510.html			0	2	0.17	If aftermarket intake it installed.					54
Engine	"Air, Oil & Fuel Filters"		American Muscle	Drop-In Air Filters	102244	http://www.americanmuscle.com/frpp-kn-dropin-filter-1014.html			0	2	0.17	9 minutes to take apart the stock air box. 1 minute to drop in the filter					55
Engine	"Air, Oil & Fuel Filters"		American Muscle	Fuel Filters	102436	http://www.americanmuscle.com/fuelab-filter-element-40m-ss.html			0	3							56
Engine	"Air, Oil & Fuel Filters"		American Muscle	Oil Filters	45008	http://www.americanmuscle.com/royalpurple-oilfilter-9610.html			0	2							57
Engine			American Muscle	Air Temp Sensor	100886	http://www.americanmuscle.com/ambient-air-temp-sensor-1012.html		grey out everything but product on full car shot	2	2						TRUE	58
Engine			American Muscle	Alternators	95320	http://www.americanmuscle.com/paperformance-ho-alternator-0510gt.html			0	2							59
Engine			American Muscle	Batteries	13951	http://www.americanmuscle.com/optima-redtop-battery.html			0	4	0.25					TRUE	60
Engine			American Muscle	Camshafts	30131	http://www.americanmuscle.com/compcams-xfi-nsr-stage2-1112gt.html			0	3							61
Engine			American Muscle	Cold Air Intake & Tuner Combos	101642	http://www.americanmuscle.com/airaid-race-cai-x4tuner-1114gt.html		template image created and put into Photoshop Components	2	6-8	0.17					TRUE	62
Engine	Cold Air Intakes		American Muscle														63
